uuid	name	publisher_uuid	file_link	first_seen	pub_date	file_harvest_date
NULL	OKL Oklahoma Natural Heritage Inventory and Department of Geography and Environmental Sustainability - Version 1.1	ab5bdf3a-6283-41c7-ac16-9ba46381aa24	http://ipt.idigbio.org/archive.do?r=okl-herb	2018-01-25 15:37:56.985247	2018-09-24 16:04:23	NULL
NULL	Threatened species occurrences, Denmark 1991-2015 - Version 1.1	26281097-694b-483d-ae22-676a2a448bf1	http://danbif.au.dk/ipt/archive.do?r=threatened-species-occurrences-denmark1991-1995	2018-01-31 11:39:53.502607	2018-03-01 09:47:18	NULL
NULL	openup_test_zoo_invmar - Version 1.10	e3767b6a-ac91-49b9-9e69-bd2fa10caf42	http://collections.mnhn.fr/ipt/archive.do?r=openup_test_zoo_invmar	2018-02-01 11:02:13.882941	2018-05-22 08:59:19	NULL
NULL	UCHT DwC-Archive	42f2a0a4-5981-4874-88d5-9efb1e8d52c9	http://sernecportal.org/portal/content/dwca/UCHT_DwC-A.zip	2018-02-02 09:32:11.605306	2018-07-23 08:29:45	NULL
NULL	TENN DwC-Archive	42f2a0a4-5981-4874-88d5-9efb1e8d52c9	http://sernecportal.org/portal/content/dwca/TENN_DwC-A.zip	2018-02-02 09:32:11.605306	2018-07-23 08:29:45	NULL
NULL	Dyntaxa. Svensk taxonomisk databas - Version 1.2	baaa8f8c-4a78-4dcf-b207-25289a6d533d	http://www.gbif.se/ipt/archive.do?r=test	2018-02-07 04:26:52.676828	2018-02-07 08:51:27	NULL
NULL	MNHN - Collection of marine invertebrates - Version 1.1	e3767b6a-ac91-49b9-9e69-bd2fa10caf42	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-zoology-invmar	2018-02-08 12:09:09.142519	2018-07-04 14:30:34	NULL
NULL	MNHN - Collection of birds - Version 1.1	e3767b6a-ac91-49b9-9e69-bd2fa10caf42	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-zoology-bird	2018-02-08 12:09:09.142519	2018-07-04 15:09:47	NULL
NULL	MNHN - Collection of fishes - Version 1.2	e3767b6a-ac91-49b9-9e69-bd2fa10caf42	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-zoology-fish	2018-02-08 12:09:09.142519	2018-07-04 14:36:59	NULL
NULL	MNHN - Collection of prehistoric paintings and tools - Version 1.1	e3767b6a-ac91-49b9-9e69-bd2fa10caf42	http://collections.mnhn.fr/ipt/archive.do?r=mnhn-prehistory	2018-02-08 12:09:09.142519	2018-07-04 14:38:40	NULL
