"","collection_uuid","recordsetQuery","size"
"84","urn:uuid:0d2309d1-7fe0-4b82-8004-b7b3844174f3",NA,0
"85","urn:uuid:0d436dca-8e1a-48af-b892-39f7428c4ef7",NA,0
"86","urn:uuid:0d5d7048-9563-4e04-8a45-9f0150df0970","{""recordset"":[""81316846-80cb-4913-8941-b31537761eb0"",""1c8d18f4-5af2-4d86-98d2-8a5ed06456e2"",""7c2c5cdc-80e6-49d5-8e95-08fc7da0a370""]}",48279
"87","urn:uuid:0d899280-335f-4e67-81e6-8a1e12d09ea7",NA,0
"88","urn:uuid:0da3692e-c59c-4936-8f48-c857fee29303",NA,0
"89","urn:uuid:0db4ff52-c4e1-4f33-b99e-aef289ec6625",NA,0
"90","urn:uuid:0dbf102b-b0cf-4408-888e-2dc9e8bc3cd4","{""recordset"":""21b563bc-70c2-46d5-bce8-2489db2db3d8""}",31785
"91","urn:uuid:0dc57930-efeb-4cff-a305-a42f150c0e72",NA,0
"92","urn:uuid:0e3325c8-260a-4551-9316-b51f19e604bc","{""recordset"":""95773ebb-2f5f-43f0-a652-bfd8d5f4707a""}",69846
"93","urn:uuid:0e50bbac-b0a1-4db6-bef5-017e1b4b4e66",NA,0
"94","urn:uuid:0e9bde1f-90e0-49eb-9ff3-476692345438","{""recordset"":[""94dd2cee-ed7d-4f98-894f-efafeac92b5b"",""40987883-03cf-494a-a5cf-7c77c7aadb79"",""8e5fffb5-0b22-472d-8386-de291d17d513"",""4523e216-ee13-4b15-a3f7-a6fd56431604""]}",359954
"95","urn:uuid:0edbb0a8-27e9-47f0-99b4-f90a0ddaede5",NA,0
"96","urn:uuid:0f28ad10-786c-4c82-bd46-7d4d9f14bf02","{""recordset"":[""2d853a6d-50ec-4931-8e91-48fc2491fdee""],""collectioncode"":[""Birds""]}",123649
"97","urn:uuid:0f5237bd-0144-4d5b-9411-0e95a1ffc574","{""recordset"":""bd7cfd55-bf55-46fc-878d-e6e11f574ccd"",""collectioncode"":""Herp""}",175626
"98","urn:uuid:0f68b119-42e1-4d03-bac1-68a19b13f61b",NA,0
"99","urn:uuid:0f957ff9-9ba8-4465-a768-90717c486994",NA,0
"100","urn:uuid:0fb5e1b4-b1f3-4272-9fbe-3f47ba678336","{""recordset"":""5ab348ab-439a-4697-925c-d6abe0c09b92""}",520773
"101","urn:uuid:0fbcadc5-7351-459b-bb3e-8fbe8fed9e8b",NA,0
"102","urn:uuid:100de61f-a5bd-491d-ab1a-ee86934e9d38","{""recordset"":""384a1909-f66c-4551-9b26-ea985cd9ccd8""}",167
"103","urn:uuid:1060af77-b851-470b-97ab-97000d3da357",NA,0
"104","urn:uuid:106e7b41-f16c-49a5-b591-7284d0c908a0",NA,0
"105","urn:uuid:1099ae2d-dbee-4afc-9b7b-3ca013d6f782","{""recordset"":""7be20c8d-a23f-406e-8f03-aa9dfb4b30b1""}",20957
"106","urn:uuid:10b24bf2-1ef6-4e2f-85dc-d6c2f4a66b39",NA,0
"107","urn:uuid:10df3f45-89b2-4472-b320-cf2b71f2dd82","{""recordset"":""a2352be4-1126-4504-ac86-c36234f123fa""}",12724
"108","urn:uuid:113f3aff-26f4-4202-bcb5-4471b00b4867",NA,0
"109","urn:uuid:1151cdc8-3f71-4961-8194-22e0dde98f3f",NA,0
"110","urn:uuid:11c774cd-56c3-44e0-a305-e3e5d7804e1a",NA,0
"111","urn:uuid:12017039-18aa-4e57-bf41-23e01024ba44",NA,0
"112","urn:uuid:122bf73a-0468-409a-96c9-7151f68ee869",NA,0
"113","urn:uuid:124c0f02-8c86-4945-94f3-b4ed6297f61a","{""recordset"":""adae5c6c-72f3-4cd8-a00b-3ea71d516abc""}",19171
"114","urn:uuid:127d8714-f28e-492e-a3b5-4a43a339e861",NA,0
"115","urn:uuid:12e7f46f-6e94-4cba-a7de-ef4cd905777f","{""recordset"":""efc8b829-65b0-4fff-b6b2-f1148c68f80d""}",2392
"116","urn:uuid:1301bf15-4bae-4569-a0a0-5415a16ff7dc","{""recordset"":""5e926e06-23b7-4461-a86c-e9219f5a3606""}",3769
"117","urn:uuid:13344d32-8e7d-4069-bb05-6a34738c0438",NA,0
"118","urn:uuid:13713462-b8f9-4c69-af05-8e30b6fe21a4",NA,0
"119","urn:uuid:1392368b-a811-4274-a097-73ee79f8969c",NA,0
"120","urn:uuid:13d47268-aad5-4af2-a872-fe908fd2f9b6",NA,0
"121","urn:uuid:1404cea6-83c5-4df4-ad22-8dd655b2d425","{""recordset"":""282fe9c2-d6cb-4325-b3b5-b70ab1d22bbb""}",6343
"122","urn:uuid:142d1773-34be-43c4-9159-56139e70c609",NA,0
"123","urn:uuid:1458f132-ec42-11e4-b70a-002315492bbc",NA,0
"124","urn:uuid:149031dc-23de-4252-a175-6eb87b490158","{""recordset"":""2c00c297-9ebd-498a-b701-d3ebde4b49f3""}",134011
"125","urn:uuid:14b0d827-6b1e-4764-a15c-04880d11fe21","{""recordset"":[""4b92de1f-866d-4b82-af69-37d46753f289"",""cf641fbf-fa31-481a-993b-9204f2ee1884"",""531537fc-6349-4a20-ae42-540d61797086""]}",116652
"126","urn:uuid:150000b6-4490-4130-ad82-134b4db63f13","{""recordset"":""ebd4ee05-1c41-46ab-9ef2-8937ea4f6112""}",16476
"127","urn:uuid:154399f4-5d97-4bc5-8942-dc3fd67f092d","{""recordset"":""cab6d230-499b-4a21-9cc2-2750e14e92f8""}",71715
"128","urn:uuid:158eb658-1c5c-4c46-ae82-c3086a90fc90","[{""recordset"":""0b17c21a-f7e2-4967-bdf8-60cf9b06c721"",""institutioncode"":""UCR""},{""recordset"":""dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5""}]",267409
"129","urn:uuid:15a6700d-942c-48f5-8bd5-1060960fe530","{""recordset"":""b8cbed64-5126-46bd-97aa-43627743aba7""}",99592
"130","urn:uuid:15e96725-1880-4659-a762-ab0d3162378a",NA,0
"131","urn:uuid:160908b4-3765-4594-bbae-ed5d5d9300c1","{""recordset"":""e7ac8c4a-64bd-491b-b764-232de9b4bfe5""}",54497
"132","urn:uuid:1614381b-560f-4618-8ebb-c41a3bf52a46","{""recordset"":[""a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a""],""collectioncode"":[""I""]}",41212
"133","urn:uuid:162a39ae-d317-48b1-a8ed-34c60f219fe3","{""recordset"":""5a9ae910-9e4b-488b-af8e-88074fabc3a4""}",13641
"134","urn:uuid:162d26a8-c97b-4615-90ab-1af1dbbf5b1e",NA,0
"135","urn:uuid:16736c04-c79f-48a1-afc5-0bf9cc6d52f6","{""recordset"":""20360fae-574a-4d63-b9f6-47b1cc07fd22""}",88341
"136","urn:uuid:167a7d38-24c9-4104-b26c-f5a99ea1a15d",NA,0
"137","urn:uuid:16dea7ab-c87b-4750-9fd8-4234f2da840f",NA,0
"138","urn:uuid:17391cff-f921-4e66-84ab-a96a243e8c0d","{""recordset"":""53feaa83-e3b6-4ad3-8597-293b153e7548""}",168092
